content_id,creator_id,content_type,created_timestamp
1,30,SHORT,13
2,26,SHORT,19
3,48,LONG,23
4,21,LONG,19
5,48,SHORT,16
6,7,LONG,14
7,3,SHORT,16
8,35,LONG,23
9,3,LONG,16
10,49,SHORT,6
11,19,LONG,12
12,20,LONG,14
13,11,LONG,9
14,40,SHORT,22
15,34,SHORT,14
16,42,LONG,2
17,47,SHORT,5
18,50,SHORT,12
19,27,LONG,14
20,2,SHORT,14
21,38,SHORT,14
22,6,LONG,10
23,45,SHORT,22
24,47,SHORT,2
25,8,LONG,20
26,24,SHORT,16
27,46,LONG,23
28,33,SHORT,12
29,36,LONG,1
30,50,SHORT,10
31,37,SHORT,5
32,10,SHORT,22
33,4,LONG,9
34,20,LONG,9
35,41,SHORT,3
36,9,SHORT,0
37,40,LONG,0
38,30,LONG,15
39,35,SHORT,19
40,32,SHORT,6
41,38,LONG,14
42,27,LONG,2
43,39,SHORT,7
44,36,LONG,19
45,41,SHORT,1
46,12,SHORT,1
47,42,LONG,1
48,10,SHORT,21
49,37,LONG,10
50,6,SHORT,3
51,27,SHORT,5
52,44,LONG,19
53,43,SHORT,14
54,48,LONG,1
55,6,LONG,10
56,24,LONG,2
57,49,LONG,17
58,5,LONG,15
59,9,SHORT,22
60,18,LONG,16
61,27,SHORT,22
62,14,SHORT,3
63,37,SHORT,15
64,47,LONG,13
65,39,LONG,8
66,34,LONG,4
67,40,LONG,16
68,47,LONG,15
69,12,SHORT,22
70,19,SHORT,0
71,8,SHORT,14
72,41,SHORT,23
73,14,LONG,13
74,3,LONG,11
75,36,SHORT,0
76,41,SHORT,22
77,19,LONG,2
78,20,LONG,16
79,36,LONG,0
80,8,LONG,10
81,26,SHORT,5
82,13,LONG,10
83,44,LONG,15
84,3,SHORT,15
85,10,LONG,17
86,22,LONG,13
87,48,SHORT,16
88,20,LONG,17
89,35,SHORT,6
90,37,LONG,11
91,5,SHORT,8
92,2,LONG,12
93,41,SHORT,18
94,39,LONG,5
95,39,SHORT,9
96,46,LONG,22
97,3,LONG,13
98,6,LONG,7
99,24,LONG,9
100,14,LONG,5
101,8,LONG,1
102,50,SHORT,2
103,29,SHORT,15
104,33,SHORT,6
105,22,LONG,23
106,34,LONG,10
107,10,SHORT,16
108,44,SHORT,6
109,47,SHORT,14
110,25,SHORT,0
111,20,SHORT,21
112,39,SHORT,10
113,30,SHORT,3
114,34,LONG,0
115,37,LONG,20
116,14,LONG,6
117,13,LONG,8
118,35,LONG,14
119,43,SHORT,8
120,10,SHORT,8
121,8,SHORT,19
122,36,SHORT,6
123,35,LONG,17
124,21,LONG,4
125,46,LONG,18
126,16,SHORT,2
