creator_id,platform,content_type,time_slot,avg_engagement
1,Instagram,SHORT,0,0.699
1,Instagram,SHORT,1,0.558
1,Instagram,SHORT,2,0.609
1,Instagram,SHORT,3,1.195
1,Instagram,SHORT,4,0.942
1,Instagram,SHORT,5,0.908
1,Instagram,SHORT,6,0.525
1,Instagram,SHORT,7,1.013
1,Instagram,SHORT,8,0.518
1,Instagram,SHORT,9,0.707
1,Instagram,SHORT,10,1.241
1,Instagram,SHORT,11,0.935
1,Instagram,SHORT,12,0.862
1,Instagram,SHORT,13,0.974
1,Instagram,SHORT,14,1.112
1,Instagram,SHORT,15,1.054
1,Instagram,SHORT,16,0.575
1,Instagram,SHORT,17,0.403
1,Instagram,SHORT,18,0.651
1,Instagram,SHORT,19,0.609
1,Instagram,SHORT,20,0.56
1,Instagram,SHORT,21,1.2
1,Instagram,SHORT,22,1.142
1,Instagram,SHORT,23,0.65
1,Instagram,LONG,0,0.645
1,Instagram,LONG,1,0.49
1,Instagram,LONG,2,0.799
1,Instagram,LONG,3,0.528
1,Instagram,LONG,4,0.413
1,Instagram,LONG,5,0.402
1,Instagram,LONG,6,0.589
1,Instagram,LONG,7,0.411
1,Instagram,LONG,8,0.603
1,Instagram,LONG,9,0.789
1,Instagram,LONG,10,0.493
1,Instagram,LONG,11,0.385
1,Instagram,LONG,12,0.849
1,Instagram,LONG,13,0.558
1,Instagram,LONG,14,0.309
1,Instagram,LONG,15,0.283
1,Instagram,LONG,16,0.32
1,Instagram,LONG,17,0.628
1,Instagram,LONG,18,0.726
1,Instagram,LONG,19,0.506
1,Instagram,LONG,20,0.293
1,Instagram,LONG,21,0.482
1,Instagram,LONG,22,0.848
1,Instagram,LONG,23,0.57
1,YouTube,SHORT,0,0.833
1,YouTube,SHORT,1,0.767
1,YouTube,SHORT,2,0.262
1,YouTube,SHORT,3,0.684
1,YouTube,SHORT,4,0.661
1,YouTube,SHORT,5,0.574
1,YouTube,SHORT,6,0.414
1,YouTube,SHORT,7,0.636
1,YouTube,SHORT,8,0.321
1,YouTube,SHORT,9,0.514
1,YouTube,SHORT,10,0.525
1,YouTube,SHORT,11,0.823
1,YouTube,SHORT,12,0.776
1,YouTube,SHORT,13,0.412
1,YouTube,SHORT,14,0.553
1,YouTube,SHORT,15,0.361
1,YouTube,SHORT,16,0.798
1,YouTube,SHORT,17,0.773
1,YouTube,SHORT,18,0.433
1,YouTube,SHORT,19,0.635
1,YouTube,SHORT,20,0.617
1,YouTube,SHORT,21,0.346
